c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
B,O,Y,P,Y,R,G,B,R,a
B,B,P,O,R,Y,Y,G,R,a
B,P,Y,R,O,G,R,B,Y,a
B,B,R,G,P,O,Y,Y,R,a
B,G,Y,P,R,R,O,Y,B,a
B,O,Y,R,R,P,Y,B,G,a
B,O,Y,P,G,B,Y,R,R,a
B,G,R,R,O,P,B,Y,Y,a
B,O,Y,R,Y,G,B,R,P,a
B,O,R,Y,G,B,Y,P,R,a
B,B,P,Y,R,G,Y,O,R,a
B,G,Y,R,O,P,Y,R,B,a
B,B,Y,G,O,R,R,P,Y,a
B,P,Y,Y,B,O,G,R,R,a
P,B,R,O,B,Y,Y,G,R,a
B,O,R,P,Y,Y,R,B,G,a
B,P,R,Y,B,G,R,Y,O,a
B,P,R,Y,Y,G,R,B,O,a
B,O,R,Y,P,B,R,G,Y,a
B,G,R,Y,Y,R,O,P,B,a
P,O,Y,R,B,G,R,B,Y,a
B,G,B,R,Y,Y,R,P,O,a
B,O,Y,R,B,Y,R,P,G,a
B,G,P,R,Y,R,Y,O,B,a
B,G,P,Y,R,O,Y,R,B,a
B,O,P,Y,B,G,Y,R,R,a
O,B,Y,G,B,P,R,Y,R,a
O,P,R,Y,B,B,R,G,Y,a
B,P,O,Y,R,G,B,R,Y,a
B,G,O,Y,Y,P,R,B,R,a
B,G,Y,P,B,R,O,Y,R,a
B,P,G,Y,Y,O,B,R,R,a
B,G,Y,P,R,R,Y,B,O,a
B,P,Y,Y,B,R,O,G,R,a
B,G,O,P,Y,Y,R,R,B,a
O,B,R,P,B,G,Y,R,Y,a
B,B,Y,R,O,P,Y,G,R,a
G,O,Y,P,B,B,R,Y,R,a
B,G,R,Y,Y,P,O,R,B,a
P,O,Y,R,B,B,R,G,Y,a
B,B,Y,R,R,O,G,P,Y,a
B,P,B,R,Y,Y,R,G,O,a
G,B,R,O,B,R,Y,P,Y,a
B,O,Y,R,R,B,Y,G,P,a
P,B,R,B,R,O,Y,G,Y,a
