c0,c1,c2,c3,c4,c5,c6,c7,c8,c9
O,B,P,G,W,R,Y,Y,R,a
B,R,R,Y,W,O,G,P,Y,a
B,B,R,R,W,G,O,G,O,a
P,B,Y,O,W,B,Y,P,R,a
B,B,P,R,W,O,O,Y,Y,a
B,R,Y,Y,W,P,G,O,P,a
G,B,G,B,W,R,Y,O,R,a
B,Y,G,Y,W,P,R,O,P,a
B,O,G,Y,W,G,R,R,P,a
B,O,P,O,W,B,R,Y,Y,a
B,O,Y,Y,W,B,P,O,P,a
B,R,P,R,W,G,Y,Y,P,a
G,B,R,Y,W,P,P,Y,R,a
B,O,Y,R,W,B,R,P,G,a
B,R,G,Y,W,P,O,B,R,a
G,P,Y,R,W,B,O,G,R,a
B,G,G,O,W,Y,R,B,R,a
B,O,O,Y,W,G,B,R,P,a
B,P,O,R,W,B,Y,O,Y,a
B,G,B,R,W,Y,O,O,R,a
P,B,R,B,W,O,Y,G,R,a
G,P,R,Y,W,Y,R,B,P,a
B,B,R,G,W,O,Y,R,O,a
B,G,P,O,W,B,O,R,Y,a
B,B,R,Y,W,O,P,R,G,a
B,B,P,Y,W,O,Y,G,R,a
B,G,P,R,W,R,G,Y,Y,a
B,O,Y,R,W,R,P,G,G,a
P,B,R,G,W,R,Y,G,Y,a
B,G,P,R,W,B,O,Y,R,a
G,B,R,P,W,Y,R,G,O,a
B,P,Y,R,W,B,P,O,Y,a
G,B,R,G,W,R,Y,Y,P,a
B,O,Y,R,W,Y,P,B,P,a
B,G,O,R,W,B,R,G,O,a
B,P,O,Y,W,Y,R,B,P,a
B,G,Y,Y,W,B,R,O,P,a
O,G,Y,R,W,B,P,P,Y,a
B,B,Y,R,W,P,P,O,Y,a
B,G,R,R,W,Y,O,O,B,a
B,B,Y,Y,W,O,O,P,P,a
B,O,Y,Y,W,R,G,P,R,a
B,B,R,O,W,Y,P,O,Y,a
B,B,Y,O,W,P,O,Y,P,a
B,G,G,R,W,P,O,Y,R,a
G,B,R,G,W,R,P,O,Y,a
O,G,Y,R,W,G,R,B,P,a
B,G,Y,Y,W,B,P,R,O,a
G,B,Y,P,W,R,R,O,G,a
B,B,Y,G,W,O,P,R,R,a
B,R,P,Y,W,O,G,B,Y,a
G,B,R,P,W,O,R,Y,G,a
B,G,Y,R,W,B,R,O,P,a
B,B,O,G,W,P,Y,R,O,a
G,G,O,P,W,B,Y,R,R,a
G,G,O,P,W,B,R,R,Y,a
B,R,P,Y,W,P,G,O,Y,a
B,P,Y,R,W,R,O,G,Y,a
B,B,G,O,W,R,Y,P,R,a
B,O,R,Y,W,B,Y,G,P,a
B,G,Y,Y,W,R,P,P,R,a
B,P,R,Y,W,Y,O,B,O,a
B,O,R,Y,W,P,G,B,Y,a
B,G,O,G,W,R,P,R,Y,a
G,G,Y,R,W,B,R,P,O,a
B,G,O,Y,W,R,B,R,G,a
G,O,R,Y,W,P,Y,B,P,a
B,B,R,G,W,Y,R,O,G,a
B,P,O,R,W,G,Y,Y,R,a
B,O,Y,O,W,B,Y,R,P,a
G,G,R,Y,W,B,P,R,Y,a
B,P,B,R,W,Y,O,P,Y,a
B,O,R,R,W,Y,G,B,G,a
B,O,Y,R,W,P,O,B,G,a
P,B,R,Y,W,P,Y,G,R,a
B,B,Y,Y,W,O,R,O,P,a
B,P,Y,R,W,O,O,B,Y,a
B,B,O,Y,W,R,O,P,Y,a
B,B,P,Y,W,R,Y,O,O,a
G,P,Y,R,W,G,R,Y,P,a
B,B,P,G,W,O,Y,R,O,a
B,B,G,Y,W,R,Y,P,O,a
B,P,R,Y,W,B,O,G,Y,a
G,P,G,R,W,Y,R,B,Y,a
O,B,Y,G,W,B,P,R,Y,a
B,O,R,P,W,R,Y,Y,G,a
B,G,G,O,W,R,B,Y,R,a
G,P,R,Y,W,P,G,R,Y,a
G,G,P,R,W,P,Y,Y,R,a
G,O,Y,P,W,B,R,B,Y,a
B,P,R,R,W,O,G,Y,G,a
P,B,R,G,W,P,Y,Y,R,a
G,B,P,Y,W,O,R,P,Y,a
B,O,P,Y,W,B,R,G,Y,a
O,R,Y,Y,W,B,P,G,R,a
G,G,R,R,W,P,P,Y,Y,a
B,G,R,R,W,O,B,Y,G,a
B,O,R,Y,W,Y,P,P,G,a
G,B,R,O,W,P,P,Y,Y,a
B,R,G,Y,W,P,R,O,G,a
G,B,Y,G,W,O,R,B,R,a
P,B,P,O,W,Y,R,G,Y,a
B,G,P,Y,W,R,Y,R,P,a
B,P,P,Y,W,R,B,Y,O,a
B,O,G,Y,W,P,B,Y,R,a
B,O,P,R,W,G,Y,Y,R,a
B,P,O,R,W,O,Y,B,G,a
B,P,G,R,W,G,O,R,Y,a
P,B,R,O,W,Y,P,B,Y,a
B,P,R,R,W,B,O,G,Y,a
B,O,P,R,W,Y,R,B,G,a
B,P,P,Y,W,O,O,B,Y,a
P,B,Y,P,W,O,Y,B,R,a
G,B,R,Y,W,P,Y,R,P,a
P,B,Y,P,W,O,R,B,Y,a
B,G,P,P,W,R,O,Y,Y,a
B,B,R,Y,W,R,G,O,O,a
B,B,R,P,W,Y,O,G,Y,a
G,B,R,P,W,B,Y,O,O,a
G,B,Y,Y,W,P,R,P,R,a
G,G,Y,P,W,R,P,Y,R,a
B,P,O,Y,W,P,O,B,Y,a
B,B,P,R,W,Y,O,O,Y,a
G,P,R,R,W,G,Y,B,O,a
B,B,G,O,W,Y,R,R,P,a
B,B,R,O,W,G,O,R,Y,a
B,G,Y,R,W,R,G,B,O,a
G,B,P,O,W,P,R,Y,Y,a
B,B,Y,Y,W,R,O,O,P,a
B,O,O,Y,W,P,G,B,R,a
B,P,P,Y,W,O,R,B,Y,a
B,P,B,P,W,Y,Y,R,O,a
B,B,R,Y,W,O,O,Y,P,a
G,O,Y,P,W,Y,P,B,R,a
O,G,Y,O,W,B,R,B,P,a
O,B,Y,O,W,R,P,B,Y,a
B,P,R,Y,W,O,Y,B,G,a
B,B,R,Y,W,G,G,R,O,a
B,O,O,R,W,P,G,B,Y,a
B,O,R,Y,W,P,G,B,O,a
G,B,R,P,W,G,R,Y,Y,a
P,B,R,O,W,P,Y,B,Y,a
B,P,R,Y,W,R,Y,G,P,a
B,O,Y,Y,W,B,R,P,P,a
B,G,P,R,W,B,O,Y,Y,a
G,B,P,Y,W,G,Y,R,R,a
B,P,O,Y,W,R,G,Y,B,a
B,O,R,R,W,G,P,B,Y,a
G,P,P,R,W,G,Y,R,Y,a
B,R,Y,Y,W,O,G,P,R,a
B,B,R,Y,W,O,R,G,O,a
B,G,G,Y,W,R,O,B,R,a
G,B,R,Y,W,P,R,O,G,a
B,B,O,Y,W,P,Y,G,R,a
G,O,P,Y,W,P,Y,B,R,a
B,B,O,Y,W,P,R,G,Y,a
B,R,R,Y,W,O,P,G,G,a
G,O,P,Y,W,P,R,B,Y,a
B,R,O,Y,W,G,P,B,Y,a
B,G,P,R,W,Y,O,O,B,a
O,B,Y,Y,W,B,R,P,P,a
B,R,G,Y,W,G,R,O,P,a
G,B,Y,R,W,Y,P,O,R,a
B,O,P,Y,W,O,P,B,Y,a
B,G,P,Y,W,P,Y,R,O,a
B,B,Y,P,W,R,G,O,R,a
O,B,P,B,W,O,R,Y,Y,a
O,G,R,O,W,B,P,B,Y,a
B,B,P,O,W,Y,P,O,Y,a
O,B,P,Y,W,R,Y,G,R,a
B,R,R,Y,W,G,O,B,G,a
G,O,Y,P,W,B,R,B,O,a
B,B,P,Y,W,G,R,O,Y,a
O,B,P,Y,W,R,R,G,Y,a
B,B,P,O,W,G,O,R,Y,a
G,O,R,R,W,G,P,B,Y,a
B,R,G,Y,W,B,R,O,O,a
G,G,P,Y,W,R,R,B,Y,a
B,B,R,G,W,Y,O,P,O,a
G,B,P,G,W,R,Y,R,Y,a
P,B,Y,B,W,O,Y,P,R,a
G,B,R,Y,W,O,P,B,R,a
B,B,Y,R,W,O,P,P,Y,a
G,B,Y,G,W,P,Y,R,R,a
O,O,Y,Y,W,B,P,B,R,a
B,O,B,P,W,R,O,Y,Y,a
G,P,Y,Y,W,R,P,G,R,a
B,O,G,R,W,B,O,Y,R,a
B,P,Y,R,W,R,Y,G,P,a
B,G,O,R,W,R,O,B,Y,a
B,G,O,Y,W,B,O,P,R,a
B,O,R,R,W,Y,O,B,G,a
B,B,O,R,W,Y,R,P,G,a
B,G,O,G,W,Y,R,R,B,a
B,G,O,R,W,O,Y,R,B,a
G,B,R,Y,W,P,Y,G,R,a
B,O,G,P,W,Y,G,R,R,a
B,P,G,Y,W,R,Y,B,O,a
B,B,Y,Y,W,G,O,R,P,a
G,G,P,Y,W,B,R,R,Y,a
B,G,Y,O,W,Y,P,R,R,a
G,O,P,R,W,B,Y,G,R,a
B,B,R,P,W,Y,O,G,O,a
G,B,G,O,W,P,R,R,Y,a
G,G,Y,R,W,P,P,Y,R,a
B,G,Y,O,W,R,R,B,O,a
G,B,R,O,W,R,G,B,Y,a
G,B,G,B,W,R,R,O,Y,a
B,G,R,R,W,B,P,O,Y,a
G,G,R,Y,W,B,O,P,R,a
B,B,G,O,W,P,O,R,Y,a
P,B,R,G,W,Y,P,O,Y,a
B,G,O,R,W,B,O,R,Y,a
B,B,P,Y,W,P,O,Y,R,a
B,G,P,O,W,B,Y,R,R,a
G,P,Y,R,W,Y,R,B,P,a
B,B,O,R,W,Y,Y,O,P,a
O,B,P,P,W,G,R,Y,Y,a
G,B,O,G,W,P,R,Y,R,a
B,B,P,O,W,R,Y,Y,P,a
B,B,Y,P,W,R,Y,O,P,a
B,O,P,R,W,B,Y,O,Y,a
B,B,Y,R,W,G,O,Y,P,a
G,O,Y,Y,W,B,R,P,P,a
B,G,Y,R,W,G,O,B,R,a
B,B,R,Y,W,P,O,O,G,a
O,B,R,B,W,O,Y,G,P,a
B,R,O,Y,W,G,R,P,G,a
P,B,Y,R,W,G,Y,G,R,a
P,B,Y,R,W,G,R,G,Y,a
G,B,Y,P,W,Y,P,R,R,a
G,B,R,P,W,G,R,Y,O,a
B,P,G,R,W,B,R,Y,O,a
G,B,Y,O,W,B,G,R,R,a
B,O,G,Y,W,P,R,R,G,a
G,G,R,R,W,Y,P,B,Y,a
G,P,Y,Y,W,O,P,B,R,a
O,G,P,R,W,B,Y,Y,R,a
B,R,P,R,W,P,Y,Y,G,a
B,P,O,Y,W,P,B,Y,O,a
B,B,O,R,W,O,R,G,G,a
B,P,R,R,W,Y,G,O,G,a
B,P,G,Y,W,R,Y,P,R,a
B,B,Y,R,W,Y,G,P,O,a
B,G,O,O,W,B,R,Y,R,a
G,B,R,P,W,O,Y,Y,P,a
B,B,G,Y,W,P,Y,O,R,a
B,B,O,O,W,Y,Y,P,P,a
B,O,R,Y,W,G,P,R,G,a
B,B,R,G,W,G,O,R,Y,a
B,O,Y,Y,W,R,P,G,P,a
B,P,G,Y,W,Y,B,R,O,a
B,B,Y,R,W,G,R,G,O,a
B,G,G,Y,W,O,B,R,R,a
G,B,R,B,W,O,R,O,G,a
B,P,O,R,W,G,P,Y,Y,a
P,B,Y,G,W,O,Y,B,R,a
B,B,O,Y,W,P,R,G,O,a
B,G,Y,O,W,B,P,Y,R,a
B,G,Y,Y,W,G,R,R,P,a
G,P,Y,R,W,Y,O,B,R,a
B,G,O,R,W,O,B,Y,P,a
O,B,Y,R,W,B,Y,O,P,a
